order_id,order_date,customer_id,product_id,region,sales,quantity,discount,profit
O00122,2023-05-27,C0086,P0018,West,1170.77,5,0.18,95.92
O00123,2022-09-06,C0088,P0008,South,1417.54,4,0.28,-148.59
O00124,2022-10-20,C0119,P0042,South,4826.73,1,0.1,596.48
O00125,2023-01-11,C0123,P0015,West,2885.14,2,0.22,159.26
O00126,2023-10-17,C0115,P0011,North,681.99,3,0.2,235.45
O00127,2022-01-28,C0165,P0010,North,3585.98,3,0.27,-81.07
O00128,2022-02-11,C0187,P0003,South,1683.08,2,0.23,42.48
O00129,2022-06-10,C0050,P0047,South,837.31,3,0.15,196.1
O00130,2022-07-20,C0139,P0006,West,2320.64,2,0.02,491.05
O00131,2022-03-12,C0107,P0028,North,3545.56,5,0.2,-82.98
O00132,2023-06-14,C0124,P0019,North,3920.11,5,0.09,145.74
O00133,2022-07-25,C0046,P0030,East,2095.22,3,0.04,167.4
O00134,2022-11-04,C0036,P0024,West,1057.91,1,0.15,227.94
O00135,2022-07-02,C0193,P0032,West,1995.94,5,0.05,251.4
O00136,2023-07-01,C0020,P0005,North,3141.38,4,0.28,690.01
O00137,2022-03-19,C0146,P0038,West,1800.26,3,0.09,215.85
O00138,2022-04-14,C0007,P0031,West,2400.87,4,0.18,-169.17
O00139,2022-01-31,C0032,P0050,West,4275.6,5,0.14,611.49
O00140,2022-12-09,C0092,P0036,East,1525.39,4,0.23,502.51
O00141,2022-03-22,C0149,P0039,East,3469.31,4,0.25,50.46
O00142,2023-09-27,C0067,P0018,East,3931.03,4,0.18,205.2
O00143,2023-05-16,C0163,P0045,West,4181.02,2,0.14,127.26
O00144,2023-02-17,C0131,P0033,South,3580.03,1,0.11,229.86
O00145,2022-03-29,C0153,P0006,East,3559.94,2,0.25,276.95
O00146,2022-05-11,C0197,P0018,East,3266.69,1,0.02,182.47
O00147,2022-09-21,C0170,P0007,West,2425.29,3,0.06,498.55
O00148,2023-10-14,C0085,P0049,East,2689.82,1,0.22,-87.69
O00149,2023-10-30,C0087,P0040,South,2153.73,1,0.2,550.71
O00150,2022-06-05,C0117,P0035,East,2660.61,4,0.04,123.72
O00151,2022-07-28,C0188,P0046,South,1667.21,4,0.12,248.43
O00152,2022-04-19,C0045,P0046,East,3851.17,4,0.28,430.46
O00153,2023-07-09,C0074,P0036,East,2114.28,5,0.06,134.99
O00154,2023-09-18,C0111,P0030,West,1975.37,1,0.06,545.85
O00155,2023-03-09,C0032,P0007,East,2889.44,4,0.1,587.73
O00156,2022-03-13,C0192,P0017,South,595.7,4,0.29,385.04
O00157,2022-09-24,C0058,P0007,West,4052.85,4,0.15,539.28
O00158,2023-11-03,C0156,P0041,South,3026.5,2,0.25,-168.24
O00159,2023-11-06,C0150,P0040,North,1292.44,1,0.06,409.13
O00160,2023-11-25,C0174,P0021,East,3995.66,5,0.02,428.05
O00161,2023-04-24,C0115,P0008,North,585.31,1,0.26,177.51
O00162,2022-12-25,C0079,P0003,North,763.84,2,0.25,610.06
O00163,2022-10-27,C0134,P0029,North,4583.21,4,0.03,102.84
O00164,2023-06-24,C0018,P0010,East,1269.41,5,0.29,425.61
O00165,2023-08-22,C0158,P0016,East,2277.24,3,0.02,566.49
O00166,2023-05-28,C0076,P0008,North,3814.97,2,0.0,287.28
O00167,2023-09-18,C0172,P0014,South,3369.75,5,0.01,237.55
O00168,2022-11-13,C0161,P0017,South,2156.21,3,0.02,389.36
O00169,2022-07-22,C0106,P0024,West,1758.54,5,0.04,663.65
O00170,2022-04-01,C0122,P0040,West,572.29,1,0.04,-11.76
O00171,2022-09-21,C0055,P0036,West,2971.52,5,0.27,311.42
O00172,2023-01-26,C0170,P0033,South,4919.71,2,0.05,158.67
O00173,2023-01-04,C0014,P0045,West,1874.89,1,0.0,60.76
O00174,2023-04-18,C0020,P0040,East,1346.44,2,0.17,-67.92
O00175,2022-01-02,C0049,P0033,West,4366.63,4,0.25,195.74
O00176,2023-01-19,C0039,P0030,South,1296.51,4,0.25,457.99
O00177,2023-03-10,C0079,P0001,West,2211.56,4,0.06,37.91
O00178,2022-01-26,C0174,P0007,East,4383.51,2,0.21,-19.96
O00179,2022-04-16,C0186,P0010,South,2890.17,5,0.2,127.59
O00180,2023-02-08,C0141,P0031,East,1378.31,5,0.22,-76.23
O00181,2023-05-25,C0194,P0038,North,2403.29,3,0.07,296.41
O00182,2022-01-09,C0040,P0035,North,4179.59,5,0.29,-144.25
O00183,2023-07-10,C0141,P0014,East,4099.95,2,0.11,408.45
O00184,2023-11-26,C0144,P0038,South,3017.6,2,0.02,198.42
O00185,2022-03-31,C0104,P0045,North,839.44,2,0.24,22.03
O00186,2022-06-20,C0171,P0047,West,1854.45,5,0.15,688.95
O00187,2023-04-25,C0051,P0023,South,2445.64,2,0.08,162.2
O00188,2023-01-18,C0074,P0013,East,4845.14,1,0.22,36.87
O00189,2022-01-12,C0128,P0049,South,2674.11,5,0.01,-107.93
O00190,2023-03-21,C0064,P0032,South,2509.03,3,0.16,484.12
O00191,2023-08-28,C0061,P0033,West,2968.99,4,0.29,646.77
O00192,2023-02-10,C0032,P0034,North,2079.9,1,0.06,-159.42
O00193,2022-07-31,C0096,P0031,South,3367.2,2,0.03,707.93
O00194,2022-10-14,C0149,P0005,South,1295.17,3,0.04,35.64
O00195,2022-01-05,C0156,P0029,West,3970.05,4,0.02,603.66
O00196,2022-08-30,C0045,P0005,South,1372.08,3,0.07,60.26
O00197,2022-08-08,C0198,P0005,South,1655.32,1,0.08,102.87
O00198,2022-04-15,C0139,P0021,North,2565.66,3,0.07,781.01
O00199,2022-04-19,C0089,P0002,West,1891.28,4,0.06,696.21
O00200,2022-01-05,C0042,P0048,North,1658.61,4,0.1,61.56
O00201,2022-02-25,C0014,P0001,West,4454.92,4,0.12,218.32
O00202,2022-06-03,C0126,P0027,West,4967.94,2,0.14,-27.39
O00203,2022-03-06,C0121,P0004,West,2965.37,2,0.18,104.13
O00204,2023-04-12,C0149,P0031,East,2488.75,1,0.25,532.39
O00205,2023-01-11,C0172,P0020,North,3647.49,5,0.16,276.16
O00206,2023-03-20,C0105,P0037,North,2385.73,1,0.16,476.03
O00207,2023-10-26,C0037,P0016,East,3928.48,5,0.24,689.26
O00208,2023-09-27,C0121,P0050,North,4678.82,3,0.25,193.09
O00209,2022-02-07,C0142,P0005,West,1730.36,4,0.11,393.64
O00210,2023-08-17,C0023,P0030,East,3674.24,3,0.17,672.35
O00211,2022-06-05,C0184,P0042,East,535.64,2,0.02,574.0
O00212,2022-03-18,C0041,P0040,West,2067.68,4,0.11,637.04
O00213,2022-10-21,C0054,P0022,West,3106.86,1,0.18,357.8
O00214,2023-10-25,C0133,P0033,North,1563.36,3,0.09,481.2
O00215,2022-03-09,C0152,P0050,North,4300.78,2,0.2,545.99
O00216,2023-08-30,C0117,P0049,East,2178.1,1,0.24,125.55
O00217,2022-02-10,C0166,P0023,East,4058.72,3,0.14,-71.67
O00218,2023-04-14,C0096,P0022,East,2174.42,5,0.04,404.09
O00219,2022-09-06,C0152,P0034,South,2831.95,3,0.16,453.55
O00220,2022-06-21,C0094,P0019,North,818.59,5,0.13,711.92
O00221,2022-10-19,C0079,P0025,West,4530.84,2,0.27,485.28
O00222,2023-03-07,C0050,P0026,South,1843.66,2,0.12,677.17
O00223,2023-07-31,C0178,P0046,East,4735.86,2,0.17,294.43
O00224,2022-02-22,C0115,P0035,South,949.23,5,0.17,429.6
O00225,2022-11-28,C0094,P0043,East,3496.29,2,0.2,365.02
O00226,2022-04-02,C0199,P0047,East,1566.78,2,0.1,300.07
O00227,2023-05-17,C0021,P0047,South,2378.66,3,0.08,313.77
O00228,2022-08-16,C0058,P0028,West,3443.48,4,0.24,345.33
O00229,2023-02-20,C0083,P0006,South,1280.38,4,0.15,147.25
O00230,2022-11-18,C0071,P0026,South,2591.44,4,0.22,672.74
O00231,2023-01-17,C0060,P0022,South,4757.21,4,0.2,461.0
O00232,2022-06-02,C0128,P0027,East,1517.88,3,0.27,760.55
O00233,2022-09-18,C0118,P0029,North,2785.83,5,0.11,-7.7
O00234,2022-09-30,C0172,P0027,North,992.26,1,0.09,454.44
O00235,2023-06-26,C0082,P0019,East,4802.64,4,0.08,167.5
O00236,2023-09-17,C0036,P0043,East,1649.27,5,0.27,737.02
O00237,2023-09-03,C0018,P0017,East,1912.29,2,0.23,226.52
O00238,2022-04-13,C0174,P0020,West,3195.88,5,0.09,492.01
O00239,2023-10-21,C0038,P0040,North,4787.55,1,0.11,633.33
O00240,2023-05-22,C0058,P0041,North,3068.25,2,0.11,619.8
O00241,2022-12-12,C0123,P0041,South,4131.17,2,0.05,755.73
O00242,2022-03-07,C0200,P0007,East,4856.83,3,0.12,689.27
O00243,2023-06-03,C0095,P0044,West,2483.09,1,0.23,-133.07
O00244,2023-04-26,C0104,P0041,South,3079.04,5,0.03,6.72
O00245,2022-09-19,C0193,P0031,West,1010.66,1,0.2,582.09
O00246,2023-06-11,C0013,P0004,East,696.6,2,0.22,27.81
O00247,2022-01-09,C0023,P0015,West,2087.68,4,0.12,518.84
O00248,2022-01-23,C0125,P0017,South,1541.7,1,0.19,375.18
O00249,2023-05-05,C0188,P0032,West,3931.57,3,0.15,330.68
O00250,2022-12-01,C0041,P0018,East,4675.22,5,0.22,146.89
O00251,2023-03-22,C0102,P0007,South,747.1,1,0.17,751.64
O00252,2022-03-03,C0135,P0023,East,1323.8,1,0.12,224.98
O00253,2023-04-09,C0195,P0001,West,1997.14,5,0.06,719.17
O00254,2023-11-28,C0028,P0019,East,3618.03,1,0.02,-75.71
O00255,2022-11-09,C0094,P0044,East,1843.08,3,0.22,-69.3
O00256,2022-01-20,C0113,P0032,North,4522.49,2,0.01,244.51
O00257,2023-09-05,C0103,P0040,South,2826.23,4,0.21,-114.92
O00258,2022-01-12,C0121,P0012,West,3196.34,3,0.24,143.1
O00259,2023-05-17,C0051,P0022,North,3355.31,3,0.09,637.47
O00260,2022-08-06,C0031,P0020,East,2956.74,3,0.27,618.22
O00261,2023-07-07,C0199,P0030,West,2470.24,3,0.11,178.66
O00262,2022-12-27,C0165,P0003,West,682.32,4,0.11,688.78
O00263,2023-03-07,C0021,P0028,East,3385.05,5,0.02,612.61
O00264,2022-03-07,C0134,P0042,West,3014.71,4,0.1,37.2
O00265,2023-08-18,C0073,P0042,South,778.48,4,0.19,-59.18
O00266,2022-05-05,C0074,P0009,North,4925.53,4,0.06,-63.16
O00267,2023-02-06,C0012,P0018,North,4287.54,4,0.11,226.95
O00268,2023-05-25,C0186,P0010,West,961.56,3,0.14,466.13
O00269,2022-04-25,C0196,P0019,East,1793.19,5,0.07,543.57
O00270,2022-11-24,C0021,P0016,West,3061.38,3,0.1,317.83
O00271,2023-05-09,C0153,P0047,South,3088.77,5,0.07,-132.75
O00272,2023-11-14,C0113,P0046,North,4189.2,4,0.1,-122.82
O00273,2023-10-24,C0113,P0013,South,1429.5,2,0.23,59.29
O00274,2022-08-14,C0090,P0034,South,908.05,1,0.21,-84.16
O00275,2022-08-17,C0076,P0009,East,1928.12,3,0.02,330.62
O00276,2022-05-06,C0158,P0009,East,3891.72,2,0.01,644.61
O00277,2022-11-01,C0011,P0034,East,2020.49,3,0.23,272.06
O00278,2023-11-12,C0190,P0010,North,3518.92,5,0.0,-177.9
O00279,2022-12-25,C0148,P0048,North,4660.67,5,0.04,-67.65
O00280,2023-09-26,C0127,P0035,North,1829.97,3,0.25,125.66
O00281,2023-07-09,C0135,P0012,East,1983.15,2,0.06,-110.9
O00282,2023-01-31,C0142,P0021,South,3124.48,5,0.19,562.82
O00283,2022-03-31,C0156,P0015,North,3082.29,2,0.11,693.89
O00284,2023-11-19,C0029,P0015,East,4380.52,5,0.24,273.62
O00285,2022-12-29,C0017,P0046,East,4020.53,1,0.14,36.84
O00286,2022-11-28,C0061,P0041,North,2238.7,5,0.25,343.95
O00287,2023-04-06,C0013,P0008,East,3269.06,3,0.19,460.31
O00288,2022-01-10,C0189,P0035,South,3518.16,4,0.19,-89.88
O00289,2022-10-19,C0154,P0045,East,4445.7,2,0.11,199.79
O00290,2023-06-13,C0121,P0019,West,4803.85,4,0.03,770.08
O00291,2022-01-16,C0181,P0023,East,1433.08,4,0.09,-22.05
O00292,2023-09-28,C0091,P0040,North,2230.05,3,0.03,582.19
O00293,2023-09-13,C0046,P0017,South,509.14,3,0.03,457.0
O00294,2022-11-17,C0080,P0030,East,3610.7,2,0.22,-50.74
O00295,2022-02-24,C0179,P0026,North,1113.89,3,0.05,286.96
O00296,2022-11-04,C0079,P0040,South,3943.09,4,0.16,523.55
O00297,2022-10-18,C0197,P0023,West,2109.49,4,0.14,404.2
O00298,2023-01-16,C0046,P0048,East,733.79,1,0.17,628.41
O00299,2023-03-04,C0063,P0049,East,974.01,3,0.04,133.58
O00300,2023-08-29,C0177,P0029,South,3089.95,2,0.3,43.98
O00301,2023-07-23,C0160,P0026,West,645.8,3,0.1,-91.58
O00302,2023-03-17,C0057,P0048,South,3843.57,5,0.2,696.67
O00303,2023-10-02,C0161,P0016,North,2374.28,4,0.21,53.26
O00304,2023-08-22,C0162,P0003,North,1842.37,5,0.27,252.77
O00305,2023-05-03,C0130,P0042,East,4776.86,3,0.05,56.38
O00306,2022-04-28,C0087,P0028,North,1870.16,5,0.13,745.2
O00307,2022-08-28,C0006,P0029,East,2173.25,2,0.19,338.42
O00308,2022-01-12,C0166,P0049,West,3284.16,3,0.29,-182.43
O00309,2023-02-15,C0138,P0027,North,720.79,1,0.16,645.58
O00310,2023-11-26,C0185,P0012,West,1835.44,3,0.25,-188.0
O00311,2022-04-08,C0029,P0033,South,4216.55,1,0.24,122.68
O00312,2023-09-17,C0147,P0035,West,2856.56,2,0.29,172.44
O00313,2022-10-30,C0042,P0049,South,4625.62,3,0.01,412.97
O00314,2022-10-06,C0003,P0023,West,2877.31,1,0.06,718.88
O00315,2023-11-27,C0009,P0036,South,4705.93,3,0.03,466.29
O00316,2022-10-07,C0182,P0015,East,1482.38,4,0.24,200.75
O00317,2023-07-07,C0054,P0049,South,520.05,5,0.13,4.73
O00318,2023-04-25,C0195,P0016,East,851.28,5,0.15,-9.93
O00319,2023-02-03,C0046,P0046,North,505.76,1,0.12,418.11
O00320,2022-09-30,C0145,P0019,West,2999.77,1,0.25,684.47
O00321,2022-02-02,C0058,P0032,North,2667.68,2,0.12,329.6
O00322,2023-02-01,C0092,P0033,North,4663.2,5,0.2,-80.26
O00323,2023-11-16,C0125,P0005,West,1756.18,4,0.05,669.42
O00324,2023-05-31,C0011,P0003,West,1218.29,3,0.15,-94.66
O00325,2023-04-10,C0167,P0042,West,4220.55,3,0.21,95.88
O00326,2022-01-23,C0146,P0030,North,930.55,5,0.04,500.35
O00327,2022-07-18,C0059,P0001,South,2897.42,1,0.08,-157.91
O00328,2022-11-20,C0171,P0048,West,3430.8,5,0.12,27.79
O00329,2023-01-01,C0122,P0014,West,2891.28,3,0.17,165.19
O00330,2023-09-01,C0100,P0042,North,2663.1,1,0.01,49.05
O00331,2023-04-05,C0068,P0020,West,1934.47,3,0.26,-196.53
O00332,2022-11-18,C0047,P0037,South,1860.21,5,0.17,552.37
O00333,2023-09-28,C0159,P0019,East,3459.72,5,0.23,133.57
O00334,2022-04-17,C0076,P0009,South,3906.27,3,0.13,491.98
O00335,2022-08-03,C0017,P0019,North,2658.63,2,0.03,319.82
O00336,2023-07-13,C0044,P0007,East,4604.46,3,0.25,574.54
O00337,2022-03-20,C0159,P0016,West,2107.38,1,0.18,-117.28
O00338,2023-08-09,C0133,P0026,North,3706.44,3,0.06,81.02
O00339,2023-05-02,C0049,P0042,North,2543.54,4,0.05,540.93
O00340,2023-05-26,C0125,P0012,East,1919.21,2,0.05,571.75
O00341,2022-10-31,C0048,P0042,South,3553.44,2,0.03,441.72
O00342,2023-02-02,C0060,P0032,East,554.29,1,0.17,520.19
O00343,2023-05-28,C0066,P0008,South,1819.91,1,0.04,132.31
O00344,2022-07-13,C0099,P0037,South,2633.88,5,0.23,694.49
O00345,2022-02-21,C0007,P0014,East,502.35,3,0.28,396.28
O00346,2023-11-06,C0058,P0001,West,3986.43,2,0.18,276.17
O00347,2022-04-24,C0045,P0006,South,4698.11,4,0.28,69.81
O00348,2023-06-10,C0162,P0020,East,4673.64,2,0.27,423.72
O00349,2022-04-03,C0198,P0001,West,2049.29,5,0.15,399.07
O00350,2023-05-09,C0200,P0044,South,2175.95,5,0.17,532.61
O00351,2023-01-14,C0075,P0043,South,742.87,5,0.21,229.23
O00352,2023-07-18,C0001,P0019,South,3179.56,5,0.06,51.06
O00353,2022-04-03,C0153,P0019,North,1291.68,5,0.1,597.05
O00354,2022-11-02,C0140,P0013,South,4686.07,4,0.13,213.28
O00355,2023-11-25,C0154,P0024,East,4659.12,3,0.03,53.9
O00356,2023-09-03,C0127,P0012,South,3283.71,3,0.08,14.65
O00357,2023-05-08,C0068,P0025,West,3053.01,3,0.03,-43.76
O00358,2023-02-18,C0028,P0048,South,1557.07,2,0.15,708.99
O00359,2022-07-12,C0199,P0007,West,3557.04,5,0.06,192.32
O00360,2022-01-14,C0048,P0014,North,2725.25,3,0.12,475.23
O00361,2022-10-21,C0155,P0018,East,3770.4,1,0.17,-103.38
O00362,2023-08-25,C0071,P0033,East,4242.97,4,0.05,552.89
O00363,2023-09-16,C0029,P0002,East,886.0,1,0.18,593.91
O00364,2023-10-22,C0034,P0045,South,3898.89,2,0.05,-68.2
O00365,2023-08-26,C0144,P0027,West,531.74,2,0.08,691.87
O00366,2023-08-07,C0108,P0038,West,624.54,1,0.13,-73.91
O00367,2022-09-19,C0184,P0029,North,1171.12,5,0.13,676.73
O00368,2022-03-02,C0077,P0018,West,1034.31,1,0.19,-35.86
O00369,2023-02-08,C0057,P0017,South,3882.85,1,0.09,76.81
O00370,2023-07-29,C0049,P0032,West,4677.32,4,0.11,481.55
O00371,2023-06-06,C0154,P0039,South,1085.08,5,0.19,262.55
O00372,2023-04-19,C0191,P0039,West,3686.83,2,0.17,206.63
O00373,2022-11-29,C0178,P0033,East,4445.25,1,0.21,305.05
O00374,2023-09-04,C0089,P0009,North,4333.35,4,0.27,447.1
O00375,2023-05-07,C0072,P0043,East,3017.26,2,0.07,694.91
O00376,2023-08-23,C0043,P0001,East,2317.57,5,0.01,-8.84
O00377,2023-01-20,C0100,P0042,North,2135.14,2,0.13,252.93
O00378,2022-07-22,C0079,P0010,North,1825.15,3,0.12,308.42
O00379,2022-03-31,C0096,P0014,North,2426.91,3,0.23,-90.51
O00380,2022-12-27,C0162,P0018,North,3594.06,2,0.18,514.13
O00381,2022-10-14,C0011,P0017,West,4468.32,4,0.25,229.6
O00382,2022-01-30,C0004,P0018,East,2038.5,2,0.22,127.8
O00383,2022-04-22,C0142,P0023,South,3103.13,2,0.2,261.15
O00384,2023-04-29,C0078,P0030,West,3710.3,3,0.09,93.45
O00385,2023-10-16,C0069,P0003,West,3628.71,4,0.19,-161.59
O00386,2022-10-07,C0026,P0017,South,4913.84,2,0.1,6.15
